Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell A,Dissabte,Casa,1,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,Manyanet Sant Andreu,Manyanet Sant Andreu,Nivell E,Dissabte,1,2,"[1, 2]"
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,EVEREST Prosperitat I,Escola de Futbol Sala Prosperitat,Nivell B,Dissabte,,3,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,Dummy 1,Dummy,Dummy,,,4,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,CE Vincit-Provençalenc A,CE Vincit-Provençalenc,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,Dummy 6,Dummy,Dummy,,,6,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,Dummy 2,Dummy,Dummy,,,7,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,"Club Joventut Les Corts ""A""",Club Joventut Les Corts,Nivell A,Dissabte,Casa,8,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,"Club Esportiu Laietà (Futbol 5) ""A""",Club Esportiu Laietà (Futbol 5),Nivell E,Dissabte,Casa,1,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,EVEREST Prosperitat J,Escola de Futbol Sala Prosperitat,Nivell B,Dissabte,,2,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,Dummy 3,Dummy,Dummy,,,3,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,Dummy 4,Dummy,Dummy,,,4,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,Dummy 5,Dummy,Dummy,,,5,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,Nivell C,Divendres,6,6,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,Associació Esportiva Babar,Associació Esportiva Babar,Nivell C,Dissabte,,7,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,Institució Montserrat,Institució Montserrat,Nivell E,Divendres,Casa,8,[]
