Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,81694FC338,Escola La Sedeta (Valors IPP),Escola La Sedeta (Valors IPP),Nivell C,Divendres,1,1,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,7CCFBEE0D1,"AE Lycée Français ""B""",AE Lycée Français,Nivell A,Dissabte,2,2,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,DUMMY-3,Dummy 3,Dummy,Dummy,,,3,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,85E79C8364,"JesuÏtes Sarria-Sant Ignasi ""Vermell""",JesuÏtes Sarria-Sant Ignasi,Nivell C,Divendres,5,4,"[6, 7]"
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,316750C968,"Club Joventut Les Corts ""Verd""",Club Joventut Les Corts,Nivell A,Dissabte,Fora,5,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,DUMMY-4,Dummy 4,Dummy,Dummy,,,6,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,7829166A33,"Fundació Escola Teresianes Ganduxer ""C""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,7,7,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,2B4F39781F,"Club Voleibol Barcelona-Barça ""Blau""",Club Voleibol Barcelona-Barça,Nivell A,Dissabte,Casa,8,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,5088C25534,"JesuÏtes Sarria-Sant Ignasi ""Negre""",JesuÏtes Sarria-Sant Ignasi,Nivell C,Divendres,1,1,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,75231EA6C1,"AE Lycée Français ""A""",AE Lycée Français,Nivell A,Dissabte,2,2,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,74A71C1412,"Fundació Escola Teresianes Ganduxer ""B""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,3,3,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,B30DF01D4F,"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,4,4,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,9B1DADC176,"Aula Escola Europea ""A""",Aula Escola Europea,Nivell C,Divendres,5,5,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,247B004798,"Volei els Arcs ""A""",Volei els Arcs,Nivell C,Divendres,6,6,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,DUMMY-5,Dummy 5,Dummy,Dummy,,,7,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,F0C9E4B8FD,"AEE Institut Jaume Balmes ""B""",AEE Institut Jaume Balmes,Nivell D,Divendres,8,8,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,1,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,162BC192C2,CELH (A. Rumbau) blau,CELH (A. Rumbau),Nivell E,Dissabte,,2,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,B146E31AB3,Col·legi Santa Dorotea,Col·legi Santa Dorotea,Nivell B,Divendres,Fora,3,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,4,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,6503AD128A,"AFA Escola Taber (AE Can Caralleu) ""Vermell""",AFA Escola Taber (AE Can Caralleu),Nivell C,Divendres,5,5,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,1E09EDE163,"Escola Suïssa de Barcelona ""A""",Escola Suïssa de Barcelona,Nivell E,Divendres,6,6,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,032EF92BE8,"Fundació Escola Teresianes Ganduxer ""A""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,7,7,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,21DC141BCC,"AEE Institut Jaume Balmes ""A""",AEE Institut Jaume Balmes,Nivell D,Divendres,8,8,[]
